260,-0.52759
259,-0.36224
258,-0.259961
257,-0.383806
256,-0.409697
255,-0.361861
254,-0.488293
253,-0.533476
252,-0.495544
251,-0.544106
250,-0.45077
249,-0.517582
248,-0.45551
247,-0.647079
246,-0.590682
245,-0.630816
244,-0.955244
243,-1.02556
242,-0.916494
241,-1.00458
240,-1.17681
239,-1.29043
238,-1.3312
237,-1.70155
236,-1.91824
235,-2.06598
234,-2.2072
233,-2.28706
232,-2.74744
231,-2.68099
230,-2.87793
229,-3.2199
228,-3.33528
227,-3.58745
226,-3.45815
225,-4.04412
224,-3.66722
223,-3.86774
222,-4.22983
221,-4.15692
220,-4.54684
219,-4.4572
218,-4.68411
217,-4.98647
216,-4.84668
215,-4.81563
214,-5.0754
213,-4.78739
212,-4.64243
211,-4.68575
210,-4.76032
209,-4.85153
208,-4.46607
207,-4.54256
206,-4.04698
205,-4.06174
204,-3.52445
203,-3.22448
202,-2.9224
201,-2.85866
200,-2.4007
199,-1.96845
198,-1.81743
197,-0.70583
196,-0.411241
195,0.162383
194,0.484817
193,1.27267
192,1.53834
191,1.23826
190,1.3295
